優先級,名稱,類型,必要輸入,可選輸入,輸出,效果,吟唱時間,傷害,特殊傷害or效果
0,能量彈,效果,Energy,"Direction(滑鼠方向), Form",Spell,直線飛行子彈,0.5,10,
0,烈焰彈,效果,Energy,"Direction(滑鼠方向), Form",Spell,直線飛行，碰撞怪或牆壁時造成3層燃燒狀態。,0.7,5,燃燒
0,冰霰,效果,Energy,"Direction(滑鼠方向), Form",Spell,命中敵人時緩速,0.7,5,緩速
0,毒球,效果,"Energy, Energy","Direction(滑鼠方向), Form",Spell,直線飛行，給予碰到的怪物持續扣血(中毒)狀態。,0.7,5,中毒
0,治療,效果,Energy(需5點),無,Spell,無彈道，直接消耗能量回復玩家固定生命值。,2,-,回復20血
0,加速,效果,"Energy, Energy",無,Spell,瞬間將玩家移動速度提升300%，持續0.2秒。,1.5,-,速度提升300%，持續0.2秒。
0,隱形,效果,Energy(需3點),無,Spell,短暫降低自身透明度，並使怪物AI丟失鎖定目標。,1.5,-,短暫降低自身透明度，並使怪物AI丟失鎖定目標。
0,時間暫停,效果,Energy,無,Spell(但任何修飾都不起作用),開局且永久綁定符文、時間暫停並開啟拉電線,0.1,-,初始且永久綁定符文、時間暫停並開啟拉電線
0,初始Space,初始,無,無,Energy,,0,,
0,初始qwer,初始,無,無,Energy,,0,,
,,,,,,,,,
1,冥想,被動,無,無,"Energy, Energy",玩家每停止施法三秒(不按鍵)，亮起一個接口儲存能量。,0,-,需要一個計數器，施法結束時會開始計時，施放法術時會暫停，每計3秒亮起一個接口儲存能量，最多三個。
1,迴力,前修飾,Energy,Form,"Energy, Form",,0.3,,將子彈改成具有穿透效果，當在抵達終端位置後，會向玩家位置進行追蹤並回到玩家所在位置。
1,追蹤,前修飾,Energy,"Form, Target(最近的怪物)","Energy, Form",,0.3,,
1,巨化,前修飾,Energy,Form,"Energy, Form",,0.5,,
1,多段連射,後修飾,Spell,無,Spell,多放幾個這樣的Spell,1,,
1,動能,被動,無,無,"Energy, Energy, Energy",玩家每移動固定距離，亮起一個接口儲存能量。,0,,
2,鮮血償還,被動,無,無,"Energy, Energy, Energy",每累積損失固定數值的血量，亮起一個接口儲存能量。,0,,
,,,,,,,,,
2,霰彈,提供Direction,無,Direction(滑鼠方向),Direction,增加左右兩邊15度角的Direction,0.6,,
